processed,original
"سیدوحیدالدین","سيدوحيدالدين"
"سیدافضل","سيدافضل"
"محمدولی","محمدولي"
"ناردین","ناردين"
"حنانهالسادات","حنانه السادات"
"خوزه","خوزه"
"میررمضان","ميررمضان"
"امیرحسین","اميرحسين"
"رامک","رامک"
"سیدجمیل","سيدجميل"
"حر","حر"
"ادنا","ادنا"
"سیدعبدالمطلب","سيدعبدالمطلب"
"تمیکو","تميکو"
"سیدهمهرناز","سيده مهرناز"
"ماریو","ماريو"
"عبدا","عبدا"
"اورینب","اورينب"
"سیدفریدالدین","سيدفريدالدين"
"یقینعلی","يقين علي"
"سیدصوفی","سيدصوفي"
"امیراسمعیل","اميراسمعيل"
"ویشتاسپ","ويشتاسپ"
"محمدکریمعبدالزهره","محمد کريم عبدالزهره"
"سایان","سايان"
"انیا","انيا"
"ناتالی","ناتالي"
"روژا","روژا"
"گلعنبر","گل عنبر"
"محمدزمان","محمدزمان"
"رحمتی","رحمتي"
"جویی","جويي"
"میرایلچین","ميرايلچين"
"آذردوخت","آذردوخت"
"ونوس","ونوس"
"سیدهعالیه","سيده عاليه"
"فائضهسادات","فائضه سادات"
"الهه","الهه"
"آیسان","آيسان"
"طلعتآغا","طلعت آغا"
"همایون","همايون"
"سیدابوالقاسم","سيدابوالقاسم"
"یلداالسادات","يلدا السادات"
"معصومهخانم","معصومه خانم"
"اتابک","اتابک"
"ماهپسند","ماه پسند"
"حسنعماد","حسن عماد"
"محمدعادل","محمد عادل"
"بشارتخانم","بشارت خانم"
"امیرشهاب","اميرشهاب"
"سیدآقا","سيدآقا"
"سیدپویا","سيدپويا"
"امیرپویا","اميرپويا"
"سیدهمایده","سيده مايده"
"مینا","مينا"
"فریماه","فريماه"
"النور","النور"
"ائلیار","ائليار"
"سادات","سادات"
"فاطمهبهار","فاطمه بهار"
"اسدعلی","اسدعلي"
"سیدهمعصومه","سيده معصومه"
"ایثار","ايثار"
"کوین","کوين"
"شكار","شكار"
"سیدهصغری","سيده صغري"
"شرمینه","شرمينه"
"مممم","مممم"
"شهزاد","شهزاد"
"افروز","افروز"
"میکله","ميکله"
"سیدکارن","سيدکارن"
"نور","نور"
"مریمبیگم","مريم بيگم"
"م","م"
"ارشیا","ارشيا"
"وفاء","وفاء"
"امینحسن","امين حسن"
"كیخسرو","كيخسرو"
"امیربهفر","اميربهفر"
"معاونآموزشی،فرهنگیو","معاون آموزشي ، فرهنگي  و"
"بابک","بابک"
"کریما","کريما"
"کارشناسموقت","کارشناس موقت"
"نسرینتاج","نسرين تاج"
"میروهاب","ميروهاب"
"سیدراغب","سيدراغب"
"مقدم","مقدم"
"کیا","کيا"
"نجیباله","نجيب اله"
"ملیکاالسادات","مليکاالسادات"
"شورانگیز","شورانگيز"
"طلایه","طلايه"
"ایلر","ايلر"
"اسرا","اسرا"
"اولیاء","اولياء"
"سیدشهریار","سيد شهريار"
"جانبیبی","جان بي بي"
"سبحانه","سبحانه"
"میربهارقلی","ميربهارقلي"
"سمیر","سمير"
"هوا","هوا"
"ساره","ساره"
"شوکا","شوکا"
"هوپند","هوپند"
"بالا","بالا"
"سماسادات","سماسادات"
"دنیز","دنيز"
"ضحی","ضحي"
"بلال","بلال"
"سیدهرفعت","سيده رفعت"
"سیدبرهان","سيدبرهان"
"رزیقه","رزيقه"
"پرسیا","پرسيا"
"سروژ","سروژ"
"محسنرضا","محسن رضا"
"لیندا","ليندا"
"بهداد","بهداد"
"میرعباس","ميرعباس"
"علاءالدین","علاءالدين"
"ارام","ارام"
"صغراء","صغراء"
"مطهر","مطهر"
"معصومهفریبا","معصومه فريبا"
"نجمالسادات","نجم السادات"
"پوراندخت","پوراندخت"
"باقر","باقر"
"جمشید","جمشيد"
"بیبیگل","بي بي گل"
"سرپرستمالیاداری","سرپرست مالي اداري"
"سیدمحمودعلی","سيدمحمودعلي"
"حسینعبدعلیعبدالرضا","حسين عبدعلي عبدالرضا"
"خورشید","خورشيد"
"معاونتوسعهومدیریتمنابع","معاون توسعه ومديريت منابع"
"سیدمحمدعرفان","سيدمحمدعرفان"
"اریک","اريک"
"ایلار","ايلار"
"سیدحمیدالدین","سيدحميدالدين"
"آیلین","آيلين"
"محمدطه","محمد طه"
"انور","انور"
"نازنین","نازنين"
"سیدهسارا","سيده سارا"
"گلرخ","گل رخ"
"آرشاک","آرشاک"
"سیدمهراب","سيدمهراب"
"سیداحمدرضا","سيداحمدرضا"
"سیدمحمدمسعود","سيدمحمدمسعود"
"امیرالله","اميرالله"
"زهرابگم","زهرابگم"
"نزاكت","نزاكت"
"الوند","الوند"
"غضنفر","غضنفر"
"ارشام","ارشام"
"سیدهمیگل","سيده ميگل"
"سیدعبدالحسین","سيدعبدالحسين"
"کریمی","کريمي"
"محمدحسام","محمد حسام"
"محمدسمیع","محمدسميع"
"اویده","اويده"
"التفات","التفات"
"احلام","احلام"
"سیدجلیل","سيد جليل"
"تیکران","تيکران"
"یعقوبعلی","يعقوب علي"
"سیدامیرعلی","سيد امير‌علي"
"عطوفه","عطوفه"
"هلاله","هلاله"
"سیدهوحیده","سيده وحيده"
"ثمینفاطمه","ثمين فاطمه"
"بهادر","بهادر"
"ننهجان","ننه جان"
"سومر","سومر"
"ویشتاسب","ويشتاسب"
"ملانی","ملاني"
"حسنقلی","حسنقلي"
"طلیعهالسادات","طليعه السادات"
"شمساله","شمس اله"
"فرساد","فرساد"
"عزت","عزت"
"سیدهشادان","سيده شادان"
"خسرو","خسرو"
"سیدهپریسا","سيده پريسا"
"مهداد","مهداد"
"اریگا","اريگا"
"دییگو","دييگو"
"شهوبو","شه وبو"
"سیدبهروز","سيدبهروز"
"شهدخت","شهدخت"
"مقدسه","مقدسه"
"سیدسهراب","سيدسهراب"
"ثمینا","ثمينا"
"محمدكیان","محمدكيان"
"سیدنظامالدین","سيدنظام الدين"
"هاله","هاله"
"سیدمحمدسهیل","سيدمحمدسهيل"
"محمدحجت","محمدحجت"
"علیعسكر","علي عسكر"
"فائقه","فائقه"
"نیناز","ني ناز"
"سیدارشاد","سيدارشاد"
"طیبهخانم","طيبه خانم"
"قسمت","قسمت"
"نوراقدس","نوراقدس"
"سرقین","سرقين"
"محرمبانو","محرم بانو"
"مخدرهمعصومهبیگم","مخدره معصومه بيگم"
"نوابهسادات","نوابه سادات"
"سیدهمینا","سيده مينا"
"قدسیه","قدسيه"
"درین","درين"
"محمدسروش","محمدسروش"
"بهرامعلی","بهرامعلي"
"هدایتاله","هدايت اله"
"فرخنده","فرخنده"
"ظفرعلی","ظفرعلي"
"زلیخاه","زليخاه"
"معصومهخاتون","معصومه خاتون"
"فرحان","فرحان"
"سمیعالحق","سميع الحق"
"میقات","ميقات"
"پرور","پرور"
"رکسانا","رکسانا"
"رقیهخاتون","رقيه خاتون"
"انیسا","انيسا"
"زینبخاتون","زينب خاتون"
"عبدالسلام","عبدالسلام"
"نازنینزینب","نازنين زينب"
"فریا","فريا"
"ستلا","ستلا"
"صاحب","صاحب"
"عزیزهبانو","عزيزه بانو"
"مرصع","مرصع"
"حبیبالله","حبيب الله"
"صوفیا","صوفيا"
"پرهام","پرهام"
"عطا","عطا"
"مهریانا","مهريانا"
"اسمعیل","اسمعيل"
"امیرپرویز","اميرپرويز"
"سیدعینالدین","سيدعين الدين"
"شبنمالسادات","شبنم السادات"
"آصف","آصف"
"آیه","آيه"
"فاطمهكوثر","فاطمه كوثر"
"مهرناز","مهرناز"
"ابوالفتح","ابوالفتح"
"عبدالغنی","عبدالغني"
"مرواریدبیگم","مرواريدبيگم"
"مهشیدسادات","مهشيد سادات"
"سلطانعلی","سلطان علي"
"تارادخت","تارادخت"
"سیدحسینحیدر","سيدحسين حيدر"
"مرادبخش","مرادبخش"
"طهمورث","طهمورث"
"لئو","لئو"
"سیدكیان","سيدكيان"
"ابوالحسن","ابوالحسن"
"محییالدین","محيي الدين"
"سكینهبیگم","سكينه بيگم"
"فخریهبیگم","فخريه بيگم"
"صمید","صميد"
"برزویه","برزويه"
"سیداحمدرضا","سيد احمدرضا"
"نیکی","نيکي"
"نجوان","نجوان"
"مشکین","مشکين"
"ویرا","ويرا"
"حبیبه","حبيبه"
"فهیمهالسادات","فهيمه السادات"
"سیدمیعاد","سيدميعاد"
"ایلا","ايلا"
"غدیر","غدير"
"محمدمجتبی","محمد مجتبي"
"شیرینسادات","شيرين سادات"
"رونیكا","رونيكا"
"سیدنجمالدین","سيدنجم الدين"
"سیدوفا","سيد وفا"
"سیرانا","سيرانا"
"ایراندخت","ايراندخت"
"محمداسمعیل","محمداسمعيل"
"آزادهالسادات","آزاده السادات"
"بیبی","بي بي"
"فخریالسادات","فخري السادات"
"شیرمراد","شيرمراد"
"بینه","بينه"
"سیدهامالبنین","سيده ام البنين"
"احمدعامرساجت","احمدعامرساجت"
"رزسادات","رزسادات"
"کارنگ","کارنگ"
"نبی","نبي"
"فمیدا","فميدا"
"آرمینا","آرمينا"
"میرمهراب","ميرمهراب"
"محمداحمدعبدالنبی","محمد احمد عبدالنبي"
"انصار","انصار"
"ایران","ايران"
"فائزهالسادت","فائزه السادت"
"مختومزاد","مختوم زاد"
"خداكرم","خداكرم"
"ترلان","ترلان"
"منار","منار"
"مودت","مودت"
"بیبیمرجان","بي بي مرجان"
"گلیدا","گليدا"
"شکرالله","شکر الله"
"حاجیرضا","حاجي رضا"
"سیدعبدالعظیم","سيدعبدالعظيم"
"سیدخلیلاله","سيدخليل اله"
"سیدفرخ","سيد فرخ"
"علیباز","علي باز"
"جوشوآ","جوشوآ"
"محمدعلی","محمد علي"
"محمدجواد","محمدجواد"
"شایگان","شايگان"
"اذینالسادات","اذين السادات"
"محمدمراد","محمدمراد"
"امیرفخرالدین","اميرفخرالدين"
"یاقوت","ياقوت"
"پدرام","پدرام"
"علیجان","علي جان"
"سیدهمهرنوش","سيده مهرنوش"
"ترانه","ترانه"
"فاطمهبیگم","فاطمه بيگم"
"مرسا","مرسا"
"روحیه","روحيه"
"فاضله","فاضله"
"اسماعیل","اسماعيل"
"سیدمجید","سيد مجيد"
"سیداریا","سيداريا"
"طاها","طاها"
"محمدصادق","محمدصادق"
"امیلیا","اميليا"
"محفوظه","محفوظه"
"كوچك","كوچك"
"امیرعلامه","اميرعلامه"
"ماهنیلی","ماه نيلي"
"سیدمحمدرضی","سيدمحمدرضي"
"سیداحمد","سيد احمد"
"سیدماشااله","سيدماشااله"
"مصطفیجمال","مصطفي جمال"
"محمدداور","محمدداور"
"عبدالباقی","عبدالباقي"
"سیدهپروین","سيده پروين"
"مبیناالسادات","مبيناالسادات"
"سیدرهام","سيدرهام"
"بلسم","بلسم"
"ثریا","ثريا"
"كنیز","كنيز"
"راشل","راشل"
"عزتعلی","عزت علي"
"فرگل","فرگل"
"واهب","واهب"
"امیرسالار","امير سالار"
"سونیا","سونيا"
"ایدا","ايدا"
"شاپری","شاپري"
"سیدفخرالدین","سيد فخرالدين"
"عرشیا","عرشيا"
"امیرجلال","اميرجلال"
"ثنا","ثنا"
"ماهناز","ماهناز"
"سیدهحمدیه","سيده حمديه"
"فرتاش","فرتاش"
"سیدسیاوش","سيدسياوش"
"جیسون","جيسون"
"سیدهغزاله","سيده غزاله"
"مصطفیسعیدفاضل","مصطفي سعيد فاضل"
"عفتبیگم","عفت بيگم"
"خذر","خذر"
"حامدهالسادات","حامده السادات"
"سیدضیاالدین","سيد ضياالدين"
"عبدالمحمد","عبدالمحمد"
"لیلاالسادات","ليلاالسادات"
"وهیبه","وهيبه"
"امكلثوم","ام كلثوم"
"سیدرئوف","سيدرئوف"
"منیرهالسادات","منيره السادات"
"شهنام","شهنام"
"نیرسادات","نيرسادات"
"نیرالسادات","نيرالسادات"
"وانیا","وانيا"
"میراسلام","ميراسلام"
"حبیباله","حبيب اله"
"سیدمعین","سيدمعين"
"كرامتالله","كرامت الله"
"کافیهالسادات","کافيه السادات"
"طلوعه","طلوعه"
"سیدمسیحاله","سيد مسيح اله"
"کفاح","کفاح"
"سیدعلی","سيد علي"
"نوبر","نوبر"
"رشاد","رشاد"
"مسلم","مسلم"
"سامیمحمداحمد","سامي محمداحمد"
"حضرتقلی","حضرتقلي"
"سیدعبدالأمیر","سيدعبدالأمير"
"سیدامیرمحمدارشام","سيداميرمحمدارشام"
"امیریحیی","امير يحيي"
"سیدپارسا","سيدپارسا"
"املیا","امليا"
"فهمیهسادات","فهميه سادات"
"هلیا","هليا"
"شرمان","شرمان"
"حكمعلی","حكمعلي"
"امیرکیان","اميرکيان"
"حلما","حلما"
"ملاحتسادات","ملاحت سادات"
"محبت","محبت"
"گلپری","گل پري"
"سندوس","سندوس"
"سیدكمیل","سيدكميل"
"بمانعلی","بمانعلي"
"مباركهسادات","مباركه سادات"
"عبدالرضا","عبدالرضا"
"مردعلی","مردعلي"
"النا","النا"
"خلیلاحمد","خليل احمد"
"شاهید","شاهيد"
"بیبیماشااله","بي بي ماشااله"
"فرخسادات","فرخ سادات"
"سیدسامان","سيدسامان"
"گلریز","گل ريز"
"علیعبدسعدون","علي عبد سعدون"
"جلالالدینمحمد","جلال الدين محمد"
"سلیمه","سليمه"
"رستم","رستم"
"سیدعطوف","سيدعطوف"
"سمیرا","سميرا"
"حدیثالسادات","حديث السادات"
"ذولفقار","ذولفقار"
"ایرج","ايرج "
"سیدعمادالدین","سيد عمادالدين"
"سیدضیا","سيدضيا"
"امینعلی","امين علي"
"هوروش","هوروش"
"ئاسو","ئاسو"
"عزیر","عزير"
"هوتن","هوتن"
"فرشتهسادات","فرشته سادات"
"مژان","مژان"
"یاسان","ياسان"
"محتشم","محتشم"
"شیماءفرحانمطر","شيماء فرحان مطر"
"غلامعباس","غلام عباس"
"محمدیاسر","محمد ياسر"
"نازیکا","نازيکا"
"پرتو","پرتو"
"امیرفرشاد","امير فرشاد"
"یاسین","ياسين"
"محمدجعفر","محمدجعفر"
"محب","محب"
"مایا","مايا"
"سیدرحیم","سيدرحيم"
"امیرقاسم","اميرقاسم"
"باسم","باسم"
"رفیعه","رفيعه"
"سیدامیرمحمد","سيداميرمحمد"
"اباسلت","اباسلت"
"سیدمحمدامیر","سيدمحمدامير"
"مسئولآموزش","مسئول آموزش"
"انسی","انسي"
"زید","زيد"
"محدثهالسادات","محدثه السادات"
"اذین","اذين"
"عباداله","عباداله"
"سیدجابر","سيد جابر"
"كاوه","كاوه"
"صفا","صفا"
"ایوان","ايوان"
"سیدتقیامید","سيدتقي اميد"
"شاهر","شاهر"
"آیتاله","آيت اله"
"رامینا","رامينا"
"دلارام","دل ارام"
"اویس","اويس"
"فانوس","فانوس"
"رزا","رزا"
"خانمگل","خانم گل"
"معاونتآموزشیدانشکده","معاونت آموزشي دانشکده"
"ظاهر","ظاهر"
"سیدماکان","سيدماکان"
"سیدمحمدصادق","سيدمحمدصادق"
"عمرانبانو","عمران بانو"
"مهرافروز","مهرافروز"
"آرسام","آرسام"
"فوأد","فوأد"
"نوشین","نوشين"
"گلریا","گلريا"
"محمدحسیننوید","محمدحسين نويد"
"میرامیر","ميرامير"
"صابرهسادات","صابره سادات"
"محرم","محرم"
"سیدمحمدآرش","سيدمحمدآرش"
"میرهاشم","ميرهاشم"
"ننهخانم","ننه خانم"
"آتناالسادات","آتناالسادات"
"کالا","کالا"
"صغری","صغري"
"بدر","بدر"
"شیرالله","شيرالله"
"تاجخانم","تاج خانم"
"جهرمیرجبی","جهرمي رجبي"
"یگانهسادات","يگانه سادات"
"مرجانه","مرجانه"
"خانمسلطان","خانم سلطان"
"زمان","زمان"
"صبیله","صبيله"
"سیدآتین","سيد آتين"
"مكرمه","مكرمه"
"ناهرین","ناهرين"
"شیرافكن","شيرافكن"
"سیدحمید","سيدحميد"
"امیرسینا","اميرسينا"
"مایده","مايده"
"شهابالدینمحمد","شهاب الدين محمد"
"پروشا","پروشا"
"سیدمهدیا","سيد مهديا"
"شمسیخانم","شمسي خانم"
"سیدصلاحالدین","سيدصلاح الدين"
"سیدپیوند","سيدپيوند"
"ملک","ملک"
"امیرکوشیار","اميرکوشيار"
"مستانه","مستانه"
"امیرنوژان","اميرنوژان"
"ثریاسادات","ثرياسادات"
"اعظمالساداتفرح","اعظم السادات فرح"
"میرسامان","ميرسامان"
"اوین","اوين"
"سیدمهرزاد","سيدمهرزاد"
"پریچهر","پريچهر"
"سیدقاسم","سيدقاسم"
"شباهنگ","شباهنگ"
"سعادتالله","سعادت الله"
"بهجتدخت","بهجت دخت"
"علمدار","علمدار"
"سیدابوالحسنعباس","سيد ابوالحسن عباس"
"شهینالسادات","شهين السادات"
"میرمانی","مير ماني"
"مانیا","مانيا"
"سیدعطااله","سيدعطااله"
"شلاله","شلاله"
"هستیسادات","هستي سادات"
"فضایل","فضايل"
"میرزاعلیرضا","ميرزاعليرضا"
"سیدهمهسا","سيده مهسا"
"علیروزبه","علي روزبه"
"سیدصمصام","سيدصمصام"
"آذردخت","آذردخت"
"پولین","پولين"
"فخریسادات","فخري سادات"
"کابان","کابان"
"امیرابوالفضل","اميرابوالفضل"
"ماهطلا","ماه طلا"
"والا","والا"
"مهتابسادات","مهتاب سادات"
"عطیه","عطيه"
"ارشک","ارشک"
"سیدفرزاد","سيدفرزاد"
"سبحانالله","سبحان الله"
"ذوالفقارعلی","ذوالفقارعلي"
"مروهعبدالسادهحسین","مروه عبدالساده حسين"
"دلارا","دل ارا"
"سهیلاالسادات","سهيلاالسادات"
"سیدمجیدرضا","سيدمجيدرضا"
"امیربهروز","اميربهروز"
"معاونآموزشیودانشجویی","معاون آموزشي و دانشجويي"
"حمیدهالسادات","حميده السادات"
"امیرمروان","اميرمروان"
"جباربردی","جباربردي"
"معاونآموزشی","معاون آموزشي"
"یكتا","يكتا"
"محمدعباد","محمدعباد"
"احسانالله","احسان الله"
"عبدالبنی","عبدالبني"
"فیروز","فيروز"
"سیدامین","سيدامين"
"مانوش","مانوش"
"عینالله","عين الله"
"رویحاتمکاظم","روي حاتم کاظم"
"فرخ","فرخ"
"سیداورنگ","سيداورنگ"
"شاهزادهبیگم","شاهزاده بيگم"
"كورش","كورش"
"آیتالله","آيت الله"
"غزالهسادات","غزاله سادات"
"سریرا","سريرا"
"میراعلم","ميراعلم"
"غزبس","غزبس"
"مطهرهالسادات","مطهره السادات"
"سیدامیر","سيدامير"
"میرهوشنگ","مير هوشنگ"
"رضاقلی","رضاقلي"
"پائیز","پائيز"
"مژگانسادات","مژگان سادات"
"عبدالعظیم","عبدالعظيم"
"مبین","مبين"
"زهرامشهوربهسونیا","زهرامشهوربه سونيا"
"كاكاجان","كاكاجان"
"امینالله","امين الله"
"تاجماه","تاجماه"
"مریمسادات","مريم سادات"
"انهبیبی","انه بي بي"
"زاگرس","زاگرس"
"شعبانعلی","شعبانعلي"
"فرهان","فرهان"
"لیلی","لي لي"
"نصیبالله","نصيب الله"
"نادعلی","نادعلي"
"ناهیدخانم","ناهيدخانم"
"سیدهنسرین","سيده نسرين"
"گلافشان","گل افشان"
"استرم","استرم"
"امیرآراد","اميرآراد"
"ملیناسادات","مليناسادات"
"میرزاجواد","ميرزاجواد"
"ملکتاج","ملک تاج"
"میرفائز","ميرفائز"
"اشرفسلطان","اشرف سلطان"
"امیرمحمد","اميرمحمد"
"آیدا","آيدا"
"سیددارین","سيددارين"
"جنت","جنت"
"مویده","مويده"
"علینقی","علينقي"
"امیرسعادت","اميرسعادت"
"سیدهشکیبا","سيده شکيبا"
"سیدهساجده","سيده‌ساجده"
"علیحسین","عليحسين"
"طلا","طلا"
"صدفناز","صدف ناز"
"میرمسعود","ميرمسعود"
"سیدصفیالله","سيدصفي الله"
"نعیمه","نعيمه"
"سیدجهانبخش","سيدجهان بخش"
"تارلا","تارلا"
"تاجعلی","تاجعلي"
"كبریا","كبريا"
"شیرینگل","شيرين گل"
"معاونآموزشی،تحصیلات","معاون آموزشي، تحصيلات"
"مخلوقه","مخلوقه"
"طهمینه","طهمينه"
"کاوین","کاوين"
"سیدصدراله","سيدصدراله"
"امیرهوشنگ","اميرهوشنگ"
"امیرعبداله","اميرعبداله"
"سوده","سوده"
"پرورده","پرورده"
"روزیه","روزيه"
"خیرنساء","خيرنساء"
"منتهی","منتهي"
"مهساالسادات","مهساالسادات"
"انوشا","انوشا"
"نیگار","نيگار"
"وجیههالسادات","وجيهه السادات"
"علیرضا","علي رضا"
"شیلان","شيلان"
"سرورسادات","سرورسادات"
"نادر","نادر"
"گیسیا","گيسيا"
"ایشین","اي شين"
"گیریگر","گيري گر"
"حمزه","حمزه"
"سیدسلمان","سيدسلمان"
"سرسان","سرسان"
"بابعلی","باب علي"
"محمدنیما","محمدنيما"
"شارون","شارون"
"عسگری","عسگري"
"قایم","قايم"
"زامار","زامار"
"دلفاین","دلفاين"
"میررضوان","ميررضوان"
"دیاکو","دياکو"
"یوسفرضا","يوسف رضا"
"سیدجواد","سيدجواد"
"سیدسجاد","سيدسجاد"
"الهامسادات","الهام سادات"
"افاقه","افاقه"
"طوطی","طوطي"
"کاوه","کاوه"
"سروناز","سروناز"
"سیدسمیه","سيدسميه"
"عنبرخاتون","عنبرخاتون"
"عنزه","عنزه"
"مهدخت","مهدخت"
"سلمان","سلمان"
"ماشاالله","ماشاالله"
"سیدهشیرین","سيده شيرين"
"سهر","سهر"
"سیدحامدالدین","سيدحامدالدين"
"سیدههدا","سيده هدا"
"سیدهشریفه","سيده شريفه"
"عطااله","عطااله"
"میمنت","ميمنت"
"زانا","زانا"
"راهیله","راهيله"
"ناجح","ناجح"
"سیدكمالالدین","سيدكمال الدين"
"سیدرجبعلی","سيدرجبعلي"
"پریگل","پري گل"
"بایرام","بايرام"
"زهرا","زهرا"
"نژده","نژده"
"امهلیلا","امه ليلا"
"محیالدین","محي الدين"
"سیفعلی","سيفعلي"
"حلیا","حليا"
"فضائل","فضائل"
"سیدعلا","سيدعلا"
"نجمالدین","نجم الدين"
"جعفرعلی","جعفرعلي"
"بیبیزینب","بي بي زينب"
"صاحبه","صاحبه"
"جوادین","جوادين"
"اشوراودین","اشوراودين"
"اسماءالسادات","اسماء السادات"
"اریانا","اريانا"
"آیداالسادات","آيداالسادات"
"پریا","پريا"
"محمدمحسن","محمدمحسن"
"مرتضیعلی","مرتضي علي"
"درخشنده","درخشنده"
"میرنریمان","ميرنريمان"
"سیدكورش","سيدكورش"
"گیتا","گيتا"
"ضیاالله","ضياالله"
"ساشا","ساشا"
"ابراهیمعلی","ابراهيم علي"
"سیدمظاهر","سيد مظاهر"
"میرداود","ميرداود"
"محمدعابد","محمدعابد"
"جیران","جيران"
"نوحعلی","نوحعلي"
"درنا","درنا"
"بهاران","بهاران"
"دیباسادات","ديباسادات"
"سیدفتحالله","سيدفتح الله"
"مقدس","مقدس"
"فربود","فربود"
"شهابالدین","شهاب الدين"
"فاطمهیاسمن","فاطمه ياسمن"
"هیراد","هيراد"
"پریدخت","پريدخت"
"برهمن","برهمن"
"نسترنسادات","نسترن سادات"
"سیدهادی","سيدهادي"
"جانمحمد","جانمحمد"
"محمدبشیر","محمد بشير"
"سیدداوود","سيدداوود"
"شفیقاحمد","شفيق احمد"
"احسانالدین","احسان الدين"
"نوروز","نوروز"
"لیث","ليث"
"اسا","اسا"
"نازخاتون","نازخاتون"
"عدیجعفرصادق","عدي جعفر صادق"
"محمدسجاد","محمد سجاد"
"وصیه","وصيه"
"بلا","بلا"
"سیدهزلیخا","سيده زليخا"
"محمدسپهر","محمدسپهر"
"سیدهمهدیه","سيده مهديه"
"شكیب","شكيب"
"دولت","دولت"
"بیبیاعظم","بي بي اعظم"
"ارمیندخت","ارمين دخت"
"فاطمهكبری","فاطمه كبري"
"سیدعلیاکبر","سيد علي اکبر"
"آرنیكا","آرنيكا"
"تاج","تاج"
"ملكمراد","ملك مراد"
"احد","احد"
"سیدنظر","سيدنظر"
"محمدحسین","محمدحسين"
"انی","اني"
"شهنازالسادات","شهنازالسادات"
"نیكزاد","نيك زاد"
"عباسمراد","عباس مراد"
"زکیه","زکيه"
"میرمحبوب","ميرمحبوب"
"عالمتاج","عالم تاج"
"ژینا","ژينا"
"صفرگل","صفرگل"
"فرانسیسکو","فرانسيسکو"
"سیدهارمغان","سيده ارمغان"
"ثمرنظامعبدالحسین","ثمر نظام عبدالحسين"
"نصرتاله","نصرت اله"
"بنانه","بنانه"
"واهان","واهان"
"فاطمهزینب","فاطمه زينب"
"نامدار","نامدار"
"روحیتاش","روحيتاش"
"دنیابهاء","دنيابهاء"
"امامعلی","امام علي"
"آتشه","آتشه"
"سیدمحمدجمال","سيد محمد جمال"
"سیدیونس","سيد يونس"
"سراجالدین","سراج الدين"
"بهنام","بهنام"
"شریعت","شريعت"
"سیدصفر","سيدصفر"
"طوبی","طوبي"
"اندیشه","انديشه"
"غلامسخی","غلام سخي"
"سیدمهیار","سيد مهيار"
"محمدمهبد","محمدمهبد"
"رومینا","رومينا"
"ضرغام","ضرغام"
"بعثت","بعثت"
"مصدقه","مصدقه"
"رحمخدا","رحم خدا"
"سرا","سرا"
"غلامرضا","غلام رضا"
"سیدبردیا","سيد برديا"
"غفور","غفور"
"یوسف","يوسف"
"شهرآرا","شهرآرا"
"حنان","حنان"
"حواناز","حواناز"
"فاطمهجان","فاطمه جان"
"سیدعمار","سيدعمار"
"شهیره","شهيره"
"نرگیس","نرگيس"
"سیدهنیلوفر","سيده نيلوفر"
"سمیره","سميره"
"اسدالله","اسدالله"
"سیدبهادر","سيدبهادر"
"نارین","نارين"
"زرینتاج","زرين تاج"
"هانیهالسادات","هانيه السادات"
"بهناز","بهناز"
"شمیلا","شميلا"
"مطهرهسادات","مطهره سادات"
"آسنا","آسنا"
"احمدحسن","احمدحسن"
"مسیحاله","مسيح اله"
"صدمه","صدمه"
"مانداناسادات","مانداناسادات"
"سیدهستاره","سيده ستاره"
"شهدوست","شهدوست"
"آرین","آرين"
"خانمزر","خانم زر"
"كیارش","كيارش"
"سیداکبر","سيد اکبر"
"دخیل","دخيل"
"شهپر","شهپر"
"یسری","يسري"
"امالبنینسادات","ام البنين سادات"
"سلمانعلی","سلمانعلي"
"سیدهمیترا","سيده ميترا"
"فاطمهصغرا","فاطمه صغرا"
"سیدصدرا","سيدصدرا"
"سیدمهرداد","سيد مهرداد"
"امیدرضا","اميد رضا"
"وحیده","وحيده"
"فرسا","فرسا"
"داریوشکیانی","داريوش کياني"
"صمصامالدین","صمصام الدين"
"محمدصابر","محمدصابر"
"ندی","ندي"
"هایده","هايده"
"سرورالسادات","سرورالسادات"
"سندباد","سندباد"
"بمانخانم","بمان خانم"
"نسترن","نسترن"
"حجیمحمود","حجي محمود"
"سیدهسیما","سيده سيما"
"چملك","چملك"
"جبرئیل","جبرئيل"
"محمودرضا","محمود رضا"
"رسول","رسول"
"مهراب","مهراب"
"سیدعلیمحمد","سيدعلي محمد"
"اهورا","اهورا"
"مسعودعلی","مسعودعلي"
"شیرینبانو","شيرين بانو"
"مژگان","مژگان"
"مها","مها"
"درسا","درسا"
"گلنساء","گل نساء"
"مسلمه","مسلمه"
"زهراسادات","زهراسادات"
"مهربان","مهربان"
"سیدمهداد","سيدمهداد"
"زبیده","زبيده"
"رامینه","رامينه"
"ویکتور","ويکتور"
"صونا","صونا"
"ربابخانم","رباب خانم"
"اژین","اژين"
"ناییری","ناييري"
"سیدهزهراء","سيده زهراء"
"کیریستله","کيريستله"
"هدیسه","هديسه"
"امیرمحمد","امير محمد"
"سعید","سعيد"
"سیدكمال","سيدكمال"
"سیدهگلنوش","سيده گلنوش"
"محمدمعین","محمدمعين"
"گیورک","گيورک"
"شكیبا","شكيبا"
"احمد","احمد"
"لهراسیاب","لهراسياب"
"سپهدار","سپهدار"
"پرستو","پرستو"
"رامش","رامش"
"حوربانو","حوربانو"
"سیدعباس","سيدعباس"
"مسیحالله","مسيح الله"
